,filename,fold,target,category,esc10,src_file,take
0,1-100032-A-0.wav,1,0,dog,True,100032,A
1,1-110389-A-0.wav,1,0,dog,True,110389,A
2,1-116765-A-41.wav,1,41,chainsaw,True,116765,A
3,1-17150-A-12.wav,1,12,crackling_fire,True,17150,A
4,1-172649-A-40.wav,1,40,helicopter,True,172649,A
5,1-172649-B-40.wav,1,40,helicopter,True,172649,B
6,1-172649-C-40.wav,1,40,helicopter,True,172649,C
7,1-172649-D-40.wav,1,40,helicopter,True,172649,D
8,1-172649-E-40.wav,1,40,helicopter,True,172649,E
9,1-172649-F-40.wav,1,40,helicopter,True,172649,F
10,1-17367-A-10.wav,1,10,rain,True,17367,A
11,1-17565-A-12.wav,1,12,crackling_fire,True,17565,A
12,1-17742-A-12.wav,1,12,crackling_fire,True,17742,A
13,1-17808-A-12.wav,1,12,crackling_fire,True,17808,A
14,1-17808-B-12.wav,1,12,crackling_fire,True,17808,B
15,1-181071-A-40.wav,1,40,helicopter,True,181071,A
16,1-181071-B-40.wav,1,40,helicopter,True,181071,B
17,1-187207-A-20.wav,1,20,crying_baby,True,187207,A
18,1-19898-A-41.wav,1,41,chainsaw,True,19898,A
19,1-19898-B-41.wav,1,41,chainsaw,True,19898,B
20,1-19898-C-41.wav,1,41,chainsaw,True,19898,C
21,1-211527-A-20.wav,1,20,crying_baby,True,211527,A
22,1-211527-B-20.wav,1,20,crying_baby,True,211527,B
23,1-211527-C-20.wav,1,20,crying_baby,True,211527,C
24,1-21189-A-10.wav,1,10,rain,True,21189,A
25,1-21934-A-38.wav,1,38,clock_tick,True,21934,A
26,1-21935-A-38.wav,1,38,clock_tick,True,21935,A
27,1-22694-A-20.wav,1,20,crying_baby,True,22694,A
28,1-22694-B-20.wav,1,20,crying_baby,True,22694,B
29,1-26143-A-21.wav,1,21,sneezing,True,26143,A
30,1-26222-A-10.wav,1,10,rain,True,26222,A
31,1-26806-A-1.wav,1,1,rooster,True,26806,A
32,1-27724-A-1.wav,1,1,rooster,True,27724,A
33,1-28135-A-11.wav,1,11,sea_waves,True,28135,A
34,1-28135-B-11.wav,1,11,sea_waves,True,28135,B
35,1-29561-A-10.wav,1,10,rain,True,29561,A
36,1-29680-A-21.wav,1,21,sneezing,True,29680,A
37,1-30226-A-0.wav,1,0,dog,True,30226,A
38,1-30344-A-0.wav,1,0,dog,True,30344,A
39,1-31748-A-21.wav,1,21,sneezing,True,31748,A
40,1-32318-A-0.wav,1,0,dog,True,32318,A
41,1-34119-A-1.wav,1,1,rooster,True,34119,A
42,1-34119-B-1.wav,1,1,rooster,True,34119,B
43,1-35687-A-38.wav,1,38,clock_tick,True,35687,A
44,1-39901-A-11.wav,1,11,sea_waves,True,39901,A
45,1-39901-B-11.wav,1,11,sea_waves,True,39901,B
46,1-39923-A-1.wav,1,1,rooster,True,39923,A
47,1-40730-A-1.wav,1,1,rooster,True,40730,A
48,1-4211-A-12.wav,1,12,crackling_fire,True,4211,A
49,1-42139-A-38.wav,1,38,clock_tick,True,42139,A
50,1-43382-A-1.wav,1,1,rooster,True,43382,A
51,1-43760-A-11.wav,1,11,sea_waves,True,43760,A
52,1-44831-A-1.wav,1,1,rooster,True,44831,A
53,1-46272-A-12.wav,1,12,crackling_fire,True,46272,A
54,1-47250-A-41.wav,1,41,chainsaw,True,47250,A
55,1-47250-B-41.wav,1,41,chainsaw,True,47250,B
56,1-47273-A-21.wav,1,21,sneezing,True,47273,A
57,1-47274-A-21.wav,1,21,sneezing,True,47274,A
58,1-48413-A-38.wav,1,38,clock_tick,True,48413,A
59,1-50060-A-10.wav,1,10,rain,True,50060,A
60,1-54505-A-21.wav,1,21,sneezing,True,54505,A
61,1-54958-A-10.wav,1,10,rain,True,54958,A
62,1-56311-A-10.wav,1,10,rain,True,56311,A
63,1-57163-A-38.wav,1,38,clock_tick,True,57163,A
64,1-59324-A-21.wav,1,21,sneezing,True,59324,A
65,1-59513-A-0.wav,1,0,dog,True,59513,A
66,1-60997-A-20.wav,1,20,crying_baby,True,60997,A
67,1-60997-B-20.wav,1,20,crying_baby,True,60997,B
68,1-61252-A-11.wav,1,11,sea_waves,True,61252,A
69,1-62849-A-38.wav,1,38,clock_tick,True,62849,A
70,1-62850-A-38.wav,1,38,clock_tick,True,62850,A
71,1-63871-A-10.wav,1,10,rain,True,63871,A
72,1-64398-A-41.wav,1,41,chainsaw,True,64398,A
73,1-64398-B-41.wav,1,41,chainsaw,True,64398,B
74,1-7057-A-12.wav,1,12,crackling_fire,True,7057,A
75,1-81883-A-21.wav,1,21,sneezing,True,81883,A
76,1-85362-A-0.wav,1,0,dog,True,85362,A
77,1-91359-A-11.wav,1,11,sea_waves,True,91359,A
78,1-91359-B-11.wav,1,11,sea_waves,True,91359,B
79,1-97392-A-0.wav,1,0,dog,True,97392,A
80,2-100786-A-1.wav,2,1,rooster,True,100786,A
81,2-101676-A-10.wav,2,10,rain,True,101676,A
82,2-102852-A-11.wav,2,11,sea_waves,True,102852,A
83,2-107351-A-20.wav,2,20,crying_baby,True,107351,A
84,2-107351-B-20.wav,2,20,crying_baby,True,107351,B
85,2-109505-A-21.wav,2,21,sneezing,True,109505,A
86,2-114280-A-0.wav,2,0,dog,True,114280,A
87,2-114587-A-0.wav,2,0,dog,True,114587,A
88,2-116400-A-0.wav,2,0,dog,True,116400,A
89,2-117271-A-0.wav,2,0,dog,True,117271,A
90,2-117625-A-10.wav,2,10,rain,True,117625,A
91,2-118072-A-0.wav,2,0,dog,True,118072,A
92,2-118104-A-21.wav,2,21,sneezing,True,118104,A
93,2-118964-A-0.wav,2,0,dog,True,118964,A
94,2-119102-A-21.wav,2,21,sneezing,True,119102,A
95,2-119748-A-38.wav,2,38,clock_tick,True,119748,A
96,2-122104-A-0.wav,2,0,dog,True,122104,A
97,2-122104-B-0.wav,2,0,dog,True,122104,B
98,2-124662-A-11.wav,2,11,sea_waves,True,124662,A
99,2-125966-A-11.wav,2,11,sea_waves,True,125966,A
100,2-127108-A-38.wav,2,38,clock_tick,True,127108,A
101,2-128631-A-21.wav,2,21,sneezing,True,128631,A
102,2-130978-A-21.wav,2,21,sneezing,True,130978,A
103,2-130979-A-21.wav,2,21,sneezing,True,130979,A
104,2-131943-A-38.wav,2,38,clock_tick,True,131943,A
105,2-132157-A-11.wav,2,11,sea_waves,True,132157,A
106,2-132157-B-11.wav,2,11,sea_waves,True,132157,B
107,2-133863-A-11.wav,2,11,sea_waves,True,133863,A
108,2-134700-A-38.wav,2,38,clock_tick,True,134700,A
109,2-135728-A-38.wav,2,38,clock_tick,True,135728,A
110,2-137162-A-11.wav,2,11,sea_waves,True,137162,A
111,2-140147-A-38.wav,2,38,clock_tick,True,140147,A
112,2-141584-A-38.wav,2,38,clock_tick,True,141584,A
113,2-151079-A-20.wav,2,20,crying_baby,True,151079,A
114,2-155801-A-11.wav,2,11,sea_waves,True,155801,A
115,2-18766-A-12.wav,2,12,crackling_fire,True,18766,A
116,2-18766-B-12.wav,2,12,crackling_fire,True,18766,B
117,2-188822-A-40.wav,2,40,helicopter,True,188822,A
